"Dato","Tilsig","Temperatur","Nedbor","Evaporasjon","Snodybde","Avrenning","Vindstyrke","Solstraaling"
2010-01-01,1.761,258.512291666667,1080.9752,18.5317,59.0733875,0,5.01324583333333,8.0016875
2010-01-02,1.731,253.858125,25.3291,17.3864,61.1461083333333,0,4.1315875,8.6440375
2010-01-03,1.7,261.4875,3926.6832,19.4339,64.5857083333333,0,12.8635375,5.7650375
2010-01-04,1.672,260.501666666667,1440.8567,15.6516,65.4376458333333,0,10.2473916666667,6.73909166666667
2010-01-05,1.645,253.85125,110.9806,15.5821,68.6168083333333,0,4.36292083333333,7.73802083333333
2010-01-06,1.618,252.585416666667,-0.0888,8.6075,71.376325,0,1.99969166666667,11.2156125
2010-01-07,1.59,248.500208333333,-0.0888,12.8757,71.1093,0,2.91847083333333,11.9191125
2010-01-08,1.563,250.981041666667,-0.0888,12.6673,71.9358083333333,0,2.3707625,12.2732958333333
2010-01-09,1.535,256.306458333333,-0.0888,10.5854,71.5988541666667,0,4.32432916666667,12.4568
2010-01-10,1.513,259.640625,-0.0888,9.4748,71.8531458333333,0,2.49120833333333,12.7870625
2010-01-11,1.528,260.800208333333,-0.0888,22.4874,72.3300041666667,0,3.1800125,12.8861333333333
2010-01-12,1.496,260.456041666667,-0.0888,49.1716,71.795925,0,4.56642916666667,11.475075
2010-01-13,1.464,261.135416666667,-0.0888,49.6921,72.4762375,0,5.58338333333333,14.1485791666667
2010-01-14,1.432,258.35375,5.2608,51.1842,72.1011166666667,0,6.6562375,12.3506791666667
2010-01-15,1.4,257.009375,10.6104,37.79,71.9294541666667,0,8.5465375,14.4272833333333
2010-01-16,1.386,258.344583333333,68.1697,49.4492,66.4741833333333,0,12.2233666666667,12.5865583333333
2010-01-17,1.371,261.476875,264.8386,39.3515,63.9371791666667,0,12.2038791666667,10.9351875
2010-01-18,1.357,260.373541666667,102.9563,22.9385,63.8100416666667,0,6.84888333333333,14.8172041666667
2010-01-19,1.343,263.719375,247.4343,26.7555,65.151525,0,4.02474166666667,15.3107541666667
2010-01-20,1.329,262.102708333333,140.4141,61.4554,66.6519875,0,7.25164583333333,12.8171708333333
2010-01-21,1.314,261.0775,379.9051,27.38,66.3150166666667,0,10.2005458333333,15.1135458333333
2010-01-22,1.3,260.37,56.1183,27.6576,64.9035666666667,0,8.85832916666667,16.6426333333333
2010-01-23,1.286,259.243333333333,230.0446,12.0774,65.31685,0,5.467325,15.8222125
2010-01-24,1.271,262.002916666667,410.6687,16.7271,65.5012083333333,0,4.01625,20.4841666666667
2010-01-25,1.257,263.309791666667,163.1534,30.0519,67.071725,0,3.98141666666667,21.131475
2010-01-26,1.243,265.564583333333,3024.9283,12.5285,69.1128666666667,0,7.76474583333333,11.0321416666667
2010-01-27,1.229,266.901666666667,9160.571,9.8567,79.4001791666667,0,13.8701166666667,19.0406875
2010-01-28,1.214,263.7125,4032.3922,10.2384,87.4941333333333,0,12.2776375,17.0825416666667
2010-01-29,1.2,258.869791666667,137.7245,12.5979,86.2859416666667,0,5.0985625,25.229
2010-01-30,1.187,258.224583333333,1732.5206,19.6419,85.9553041666667,0,5.89677916666667,21.220275
2010-01-31,1.173,250.57,30.6898,13.9861,82.9798416666667,0,4.57209166666667,33.4020666666667
2010-02-01,1.16,254.748333333333,68.1952,22.2329,80.3032,0,4.41045,27.0184875
2010-02-02,1.147,253.228958333333,16.764,28.55,78.8218125,0,3.99788333333333,30.2612666666667
2010-02-03,1.133,253.515208333333,221.357,23.5318,77.7279916666667,0,4.9711625,30.9796916666667
2010-02-04,1.12,256.39875,1417.5812,23.6369,77.2764416666667,0,7.698975,32.5557166666667
2010-02-05,1.107,261.240625,2096.1874,16.3364,68.5722875,0,6.76082083333333,23.7664875
2010-02-06,1.093,261.908125,463.9516,25.5669,67.1798291666667,0,3.225225,35.346575
2010-02-07,1.08,261.995416666667,646.1889,21.426,67.7204916666667,0,9.33483333333333,31.07295
2010-02-08,1.067,263.687708333333,2853.0433,9.0371,71.8213708333333,0,11.7964708333333,29.6288208333333
2010-02-09,1.053,259.75,680.8418,26.1991,78.0968833333333,0,6.75264583333333,38.1218166666667
2010-02-10,1.04,256.662291666667,1039.7062,6.1593,76.3036666666667,0,8.43044583333333,29.2387208333333
2010-02-11,1.027,263.897916666667,1617.7,14.2312,76.4689458333333,0,9.08707083333333,32.0815791666667
2010-02-12,1.013,261.598333333333,57.0158,32.7622,76.9076333333333,0,3.5541625,38.4477375
2010-02-13,1,265.263125,706.561,22.0227,77.2319958333333,0,6.82652916666667,42.7222416666667
2010-02-14,0.986,262.844375,44.7149,56.1367,76.6723791666667,0,3.7541,43.7353583333333
2010-02-15,0.972,262.327083333333,60.365,42.0629,77.39735,0,5.33075416666667,44.0429833333333
2010-02-16,0.958,261.330625,164.3451,18.092,77.7470666666667,0,5.11481666666667,44.267
2010-02-17,0.944,259.383333333333,109.5614,18.3727,77.5944333333333,0,6.267675,52.6563166666667
2010-02-18,0.931,258.252083333333,313.0288,16.6878,76.646975,0,7.45535833333333,50.6173791666667
2010-02-19,0.917,257.043958333333,648.4204,9.6685,75.6615125,0,8.2812875,56.2688875
